,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,0.34218309213146403,0.4967895999185887,0.5130394356646769,0.026404556949438683,0.07003670803187384,R
44,0.5607474220690299,0.5253101844571234,0.8690292212024284,0.9941225740723723,0.7608417240038572,M
45,0.7708884247289214,0.4973121087230946,0.9678587177258176,0.8896274121460137,0.8958945748345295,M
46,0.8681822435220012,0.637792229113475,0.44658343791545785,0.9613569451119925,0.4703417493524637,M
47,0.9071216932555788,0.922287348631966,0.4557515709665379,0.8449505861676292,0.7391143427661221,M
48,0.3683471016236547,0.313951519947035,0.2132180256758162,0.4032036664993296,0.5170103873361986,R
49,0.39140370885402226,0.08743660536066493,0.0034110575744580687,0.06059323532723584,0.11628240279257437,R
50,0.24617931770673226,0.47975168256611184,0.137361548304068,0.1837923270972143,0.27498579791050093,R
51,0.8255271285911666,0.8450846356041971,0.5456077515816814,0.6017875223279427,0.53453791350491,M
52,0.8123964425354686,0.9067522487164167,0.4545554703343995,0.6073844142161994,0.9952316811036597,M
53,0.6856893982445436,0.9052472413949698,0.9213398263021786,0.43019385654117936,0.688782184213188,M
54,0.4887041144543377,0.005226460136366181,0.12687482531372538,0.5431233736793117,0.43866149872888976,R
55,0.9155634450026247,0.4459343885878449,0.7192608810969829,0.9580711725294913,0.8127613867122929,M
56,0.23429763137857393,0.426799183677735,0.16196047119393372,0.3121194244961401,0.009837522340808763,R

