Group	Name	RA	DEC
HCG 1	UGC 00248 NED01	6.52971	25.725189999999998
HCG 1	UGC 00248 NED02	6.52479	25.71933
HCG 1	WISEA J002554.42+254325.2	6.4767	25.72366
HCG 1	WISEA J002558.82+254331.0	6.49504	25.725189999999998
HCG 2	UGC 00312	7.84962	8.46683
HCG 2	UGC 00312 NOTES01	7.82855	8.47482
HCG 2	UGC 00314	7.87237	8.40061
HCG 3	MCG -01-02-032	8.55492	-7.5648300000000015
HCG 3	WISEA J003425.11-073558.2	8.60468	-7.5996
HCG 3	WISEA J003409.83-073608.5	8.541030000000001	-7.602239999999999
HCG 5	NGC 0190 NED01	9.72783	7.062689999999999
HCG 5	NGC 0190 NED02	9.72804	7.056719999999999
HCG 5	UGC 00397 NOTES03	9.71992	7.07297
HCG 7	NGC 0192	9.80598	0.86434
HCG 7	NGC 0196	9.82433	0.91276
HCG 7	NGC 0201	9.89508	0.8598899999999999
HCG 7	NGC 0197	9.8283	0.89192
HCG 7	WISEA J003915.46+005633.2	9.81443	0.94258
HCG 8	VV 521 NED01	12.39229	23.57825
HCG 8	VV 521 NED02	12.39683	23.59156
HCG 8	VV 521 NED03	12.39893	23.58415
HCG 8	VV 521 NED04	12.40263	23.57339
HCG 8	MCG +04-03-009	12.38667	23.573610000000002
HCG 8	MCG +04-03-009	12.38667	23.573610000000002
HCG 8	MCG +04-03-007	12.38167	23.59556
HCG 8	MCG +04-03-007	12.38167	23.59556
HCG 12	MCG -01-04-052	21.88915	-4.6830099999999995
HCG 12	WISEA J012734.33-043906.6	21.89337	-4.6521099999999995
HCG 12	WISEA J012737.39-043940.3	21.90588	-4.66119
HCG 12	WISEA J012737.28-044006.2	21.90483	-4.66875
HCG 12	WISEA J012727.83-044038.6	21.866039999999998	-4.67742
HCG 13	MCG -01-05-002	23.08537	-7.859560000000001
HCG 13	MCG -01-05-003	23.09296	-7.873189999999999
HCG 13	MCG -01-05-004	23.09662	-7.8795800000000025
HCG 13	WISEA J013219.13-075345.8	23.07975	-7.89606
HCG 13	WISEA J013225.97-075208.9	23.10829	-7.86953
HCG 17	HCG 017A	33.52135	13.31104
HCG 17	WISEA J021403.85+131847.2	33.516020000000005	13.31313
