Group	Name	n	T
HCG 1	UGC 00248 NED01	2.8641	5
HCG 1	UGC 00248 NED02	3.3413	1
HCG 1	WISEA J002558.82+254331.0	2.8468	-2
HCG 1	WISEA J002554.42+254325.2	11.2216	-5
HCG 2	UGC 00314	1.8987	5
HCG 2	UGC 00312	1.7498	7
HCG 2	UGC 00312 NOTES01	2.737	1
HCG 3	MCG -01-02-032	0.7471	5
HCG 3	WISEA J003409.83-073608.5	2.7048	-2
HCG 3	WISEA J003425.11-073558.2	2.8087	0
HCG 5	NGC 0190 NED01	4.0175	2
HCG 5	NGC 0190 NED02	4.0642	-2
HCG 5	UGC 00397 NOTES03	5.6073	-2
HCG 7	NGC 0201	1.8246	5
HCG 7	NGC 0192	4.6516	1
HCG 7	NGC 0197	2.4876	-2
HCG 7	NGC 0196	5.6045	-2
HCG 7	WISEA J003915.46+005633.2	4.4771	-5
HCG 8	VV 521 NED01	10.7	-5
HCG 8	VV 521 NED02	4.86	-2
HCG 8	VV 521 NED03	4.32	-2
HCG 8	VV 521 NED04	12.32	-2
HCG 8	MCG +04-03-009	0.67	-2
HCG 12	MCG -01-04-052	4.5593	-2
HCG 12	WISEA J012727.83-044038.6	3.4362	-2
HCG 12	WISEA J012737.28-044006.2	1.2667	4
HCG 12	WISEA J012737.39-043940.3	1.7021	-2
HCG 12	WISEA J012734.33-043906.6	4.1812	-2
HCG 13	WISEA J013219.13-075345.8	3.237	-2
HCG 13	MCG -01-05-004	3.7059	-2
HCG 13	MCG -01-05-003	4.8876	-5
HCG 13	WISEA J013225.97-075208.9	2.5594	-2
HCG 13	MCG -01-05-002	1.6909999999999998	3
HCG 17	HCG 017A	6.57	-5
HCG 17	WISEA J021403.85+131847.2	10.23	-5
HCG 17	WISEA J021405.04+131902.2	8.02	-2
HCG 17	WISEA J021407.58+131823.6	7.4	-2
HCG 20	WISEA J024417.16+260639.2	1.6936	0
HCG 20	2MFGC 02173	2.5276	-5
HCG 20	WISEA J024413.62+260620.4	4.6205	-5
HCG 20	WISEA J024416.74+260610.5	3.5358	-5
HCG 20	WISEA J024412.04+260556.2	2.9209	-2
HCG 25	CGCG 390-067	2.2019	-2
HCG 25	UGC 02691 NED01	3.4963	1
HCG 25	UGC 02691 NED02	6.5792	-2
HCG 25	WISEA J032034.84-010545.0	2.7899	-2
HCG 25	UGC 02690	1.3712	5
HCG 35	WISEA J084521.24+443114.0	3.54	-2
HCG 35	WISEA J084520.59+443032.1	5.4	-3
HCG 35	WISEA J084518.42+443139.5	9.43	-2
HCG 35	2MASX J08452066+4432231	1.65	3
HCG 35	WISEA J084520.75+443012.2	4.49	-2
HCG 35	WISEA J084520.87+443159.5	2.8	-5
HCG 37	NGC 2783	5.37	3
HCG 37	NGC 2783B	1.01	4
HCG 37	MCG +05-22-020	1.61	0
HCG 37	MCG +05-22-016	1.22	8
